song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Troubles,SOMMA,4OdfUasq027O3IY5r0Q1ZB,0.741,0.615,-7.823,0.0536,0.231,2.69e-05,0.154,0.469,122.027,165922
All I Want Is You,exclap,1kvCXlTdOSHX4nO631YTsn,0.806,0.673,-5.574,0.0361,0.0102,0.00127,0.118,0.258,123.04,176098
Ice & Cold,Tom Enzy,3eKdMlPONnxz5quSb2VpKU,0.686,0.673,-9.065,0.115,0.248,0.0853,0.114,0.465,119.93,186690
Howling,SOMMA,48fzVg5tLc7DII84diRCUO,0.769,0.654,-8.27,0.0709,0.0548,0.00691,0.145,0.441,121.969,187931
Get Through This,Nathan C,4NkHMtDWqqfU9snFt7Ae6j,0.643,0.705,-6.658,0.0347,0.381,0.000133,0.119,0.517,123.924,172278
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,39JofJHEtg8I4fSyo7Imft,0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,226627
HISTORY,Joel Corry,5IfHQilcjciOxJQBFCNCCN,0.674,0.86,-3.318,0.0369,0.155,3.21e-06,0.359,0.771,122.975,176610
Mean to Me,yuma.,4b3DcCqrtubEnebf4lV7JD,0.717,0.755,-9.587,0.034,0.00399,0.144,0.098,0.0712,124.008,214854
Light,Nu Aspect,0JLiYHwL8CXEysiurWmdow,0.656,0.776,-9.445,0.0351,0.00408,0.778,0.346,0.338,125.975,186131
My Carousel,Tobtok,65tzGxRAwbrZd2yhHcGgLf,0.563,0.735,-6.488,0.108,0.0109,2.32e-05,0.0871,0.24,125.076,166639
Howl,Elderbrook,3360fzHkXtFCGSnTpyBMRA,0.634,0.659,-7.143,0.0263,0.373,0.00325,0.161,0.38,126.977,257431
I Can't Sleep,SOMMA,5xB5b4L2jOylbYhSf15PTq,0.793,0.547,-7.747,0.0816,0.31,9.06e-05,0.074,0.413,124.025,191785
Tainted Love,Harrison,3lAoqK9lSnZ7JePkZ24TMp,0.67,0.828,-5.834,0.0519,0.0506,0.0,0.345,0.468,127.993,163828
How Do I Sleep Now,Dallerium,3EtXo9cEurLpblcdWHuBjT,0.74,0.759,-7.911,0.0379,0.139,0.116,0.0707,0.147,123.992,194363
Sweet Dreams,Marcus Layton,0RD27NcbftTkhb1NlxQMGR,0.732,0.714,-7.432,0.0791,0.332,1.05e-06,0.131,0.376,121.982,151989
No More,Alexxi,287dOpeWtu9E9qhfCK1m1V,0.695,0.76,-8.418,0.0409,0.264,0.378,0.107,0.168,123.981,162238
