song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Teenage Satellites,blink-182,67xAnaQ4MxboDsl8kKRup0,0.475,0.96,-2.438,0.12,0.00283,0.0,0.191,0.474,160.093,191573
Home Is Such A Lonely Place,blink-182,7fYOZjdpOv8dBtzPnXysOG,0.331,0.672,-5.679,0.0324,0.00877,1.47e-06,0.111,0.211,115.001,201480
Cynical,blink-182,0oOOVSZGuPriWBqwbh0uuJ,0.495,0.965,-2.964,0.188,0.00267,0.0,0.0763,0.254,100.028,115520
No Future,blink-182,5Uwm4pdpaaW3yari6ymMTT,0.485,0.948,-2.68,0.131,0.00689,0.0,0.218,0.481,162.966,225813
Bored To Death,blink-182,44TuSOP6xIAEeJmZsN3nXO,0.502,0.966,-3.876,0.0946,0.00575,1.56e-06,0.117,0.638,159.948,235613
Sober,blink-182,3XNwHDhzksSGjQf2jBCsih,0.532,0.879,-4.751,0.0404,0.00737,9.9e-06,0.348,0.735,159.949,179613
San Diego,blink-182,68jM3HGqCToav6bsNY2slc,0.478,0.947,-3.644,0.0778,0.000816,0.0,0.394,0.524,158.004,192947
Los Angeles,blink-182,1kVWn6BRzI9CwGz2vwmXlH,0.554,0.976,-2.599,0.134,0.00318,0.0,0.0718,0.354,102.089,183267
Kings of the Weekend,blink-182,6ndjTv3CjbsbefFfYk7UQk,0.568,0.932,-2.925,0.0987,0.00271,0.0,0.047,0.752,88.519,176427
California,blink-182,08aMpsxjozNNQPVnnE1QaC,0.348,0.675,-5.889,0.0428,0.0571,0.0,0.0857,0.206,179.91,190400
Left Alone,blink-182,4GWOuX0NMBTLKyUb8aLHnL,0.463,0.952,-3.828,0.147,0.0113,0.0,0.0715,0.429,170.066,189747
The Only Thing That Matters,blink-182,6MwPuDc52KxhkPvccmU5rE,0.532,0.973,-3.064,0.168,0.000461,0.0,0.109,0.477,130.042,117640
M+M's,blink-182,6A82LV89Dc6eMJI4ocqwUS,0.194,0.871,-7.922,0.0465,1.6e-05,0.0273,0.0873,0.752,159.41,159773
Touchdown Boy,blink-182,69j2ACMaaP8U1dZEHcHUux,0.361,0.93,-9.225,0.0475,2.37e-05,0.000364,0.0944,0.599,106.661,190507
Toast And Bananas,blink-182,4FC9edzWI0xCOzq6JChRVs,0.261,0.886,-9.466,0.0605,5.69e-05,2.22e-05,0.0602,0.504,103.353,162600
Does My Breath Smell?,blink-182,6XvCgvHzNff98XlI8YGaAp,0.369,0.839,-8.095,0.0765,0.00199,0.0,0.0625,0.719,81.369,158093
Boxing Day,blink-182,6uDMP9Hlgy2FemC6sp9ZRt,0.643,0.779,-6.426,0.0253,0.0183,1.07e-05,0.102,0.394,94.98,239307
